country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,31-03-2022,-23,-17,-26,-41,-30,7
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,01-04-2022,-22,-14,-20,-39,-29,5
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,02-04-2022,-23,-16,-24,-38,-17,3
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,03-04-2022,-20,-16,-15,-34,-16,2
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,04-04-2022,-23,-15,-21,-38,-29,5
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,05-04-2022,-22,-15,-17,-39,-30,5
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,06-04-2022,-22,-15,-17,-38,-30,5
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,07-04-2022,-21,-14,-20,-38,-30,5
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,08-04-2022,-21,-12,-22,-38,-29,5
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,09-04-2022,-21,-13,-16,-35,-17,2
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,10-04-2022,-18,-15,-9,-32,-15,1
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,11-04-2022,-22,-15,-23,-39,-32,6
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,12-04-2022,-22,-16,-25,-41,-33,6
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,13-04-2022,-21,-15,-17,-40,-33,6
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,14-04-2022,-20,-15,-18,-39,-34,6
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,15-04-2022,-20,-12,-19,-41,-39,7
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,16-04-2022,-23,-10,-22,-39,-21,3
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,17-04-2022,-34,-14,3,-36,-26,1
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,18-04-2022,-22,-17,-22,-39,-32,6
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,19-04-2022,-22,-16,-18,-39,-31,6
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,20-04-2022,-22,-16,-17,-38,-31,5
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,21-04-2022,-22,-17,-21,-38,-30,6
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,22-04-2022,-22,-16,-27,-39,-30,6
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,23-04-2022,-21,-15,-14,-36,-18,2
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,24-04-2022,-19,-15,-7,-33,-17,1
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,25-04-2022,-22,-13,-20,-37,-28,5
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,26-04-2022,-23,-14,-19,-38,-28,5
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,27-04-2022,-22,-15,-18,-38,-28,5
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,28-04-2022,-22,-16,-23,-38,-28,5
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,29-04-2022,-20,-13,-18,-37,-28,5
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,30-04-2022,-21,-14,-16,-34,-17,2
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,01-05-2022,-17,-13,-5,-32,-15,2
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,02-05-2022,-21,-12,-20,-37,-28,5
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,03-05-2022,-20,-11,-18,-37,-28,5
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,04-05-2022,-20,-12,-18,-38,-28,5
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,05-05-2022,-17,-12,-19,-37,-28,4
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,06-05-2022,-18,-10,-20,-37,-28,4
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,07-05-2022,-18,-7,-18,-35,-18,0
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,08-05-2022,-16,-9,-22,-33,-18,1
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,09-05-2022,-22,-13,-23,-37,-28,5
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,10-05-2022,-19,-12,-21,-37,-29,4
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,11-05-2022,-22,-15,-23,-38,-29,5
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,12-05-2022,-21,-14,-19,-37,-29,5
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,13-05-2022,-20,-13,-18,-37,-29,5
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,14-05-2022,-21,-14,-14,-35,-19,2
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,15-05-2022,-18,-14,-7,-31,-17,2
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,16-05-2022,-22,-13,-21,-37,-29,5
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,17-05-2022,-22,-14,-20,-37,-29,5
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,18-05-2022,-22,-14,-17,-37,-29,5
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,19-05-2022,-21,-16,-22,-38,-30,5
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,20-05-2022,-22,-15,-27,-38,-29,5
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,21-05-2022,-22,-16,-15,-34,-19,2
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,22-05-2022,-19,-16,-8,-32,-17,2
US,United States,California,Los Angeles County,,,6037,ChIJMc1kAdMq3YARKjm9z9YofYM,23-05-2022,-23,-15,-22,-37,-29,5
